date,station,value_total,value_w_corrupt
1/6/22,MSNBC,0,0
1/7/22,MSNBC,0.3183,0
1/8/22,MSNBC,0.2384,0
1/9/22,MSNBC,1.2003,0.1091
1/10/22,MSNBC,2.6225,0.1505
1/11/22,MSNBC,1.4165,0.0634
1/12/22,MSNBC,0.2926,0
1/13/22,MSNBC,0.5456,0.063
1/14/22,MSNBC,0.4727,0.0215
1/15/22,MSNBC,0.9324,0.0636
1/16/22,MSNBC,0.1898,0.0422
1/17/22,MSNBC,1.2788,0.1468
1/18/22,MSNBC,0.5532,0
1/19/22,MSNBC,3.2144,0.2087
1/20/22,MSNBC,4.4908,1.2033
1/21/22,MSNBC,4.1542,0.5326
1/22/22,MSNBC,3.3615,0.4771
1/23/22,MSNBC,3.8521,0.4622
1/24/22,MSNBC,6.1509,0.6644
1/25/22,MSNBC,5.7777,0.8583
1/26/22,MSNBC,4.6586,0.6169
1/27/22,MSNBC,3.1983,0.533
1/28/22,MSNBC,4.5564,0.5915
1/29/22,MSNBC,5.2383,0.7299
1/30/22,MSNBC,3.657,0.2566
1/31/22,MSNBC,5.272,0.2092
2/1/22,MSNBC,3.2616,0.23
2/2/22,MSNBC,4.1087,0.2283
2/3/22,MSNBC,3.512,0.3902
2/4/22,MSNBC,3.6027,0.1874
2/5/22,MSNBC,1.7379,0.1047
2/6/22,MSNBC,3.0221,0.2898
2/7/22,MSNBC,4.283,0.5459
2/8/22,MSNBC,4.4823,0.5603
2/9/22,MSNBC,2.7991,0.1866
2/10/22,MSNBC,3.4784,0.2708
2/11/22,MSNBC,4.5908,0.7894
2/12/22,MSNBC,3.6549,0.85
2/13/22,MSNBC,4.4552,0.9518
2/14/22,MSNBC,6.8294,0.9848
2/15/22,MSNBC,7.7348,0.8185
2/16/22,MSNBC,7.781,0.9648
2/17/22,MSNBC,6.202,0.4356
2/18/22,MSNBC,8.0248,0.7859
2/19/22,MSNBC,9.7928,1.2346
2/20/22,MSNBC,4.7639,0.872
2/21/22,MSNBC,9.5896,1.2758
2/22/22,MSNBC,19.9876,1.5327
2/23/22,MSNBC,13.5717,1.2338
2/24/22,MSNBC,19.6877,1.1465
2/25/22,MSNBC,15.8149,0.7992
2/26/22,MSNBC,19.1908,0.8654
2/27/22,MSNBC,18.0104,0.7949
2/28/22,MSNBC,16.396,0.7243
3/1/22,MSNBC,16.8092,1.1976
3/2/22,MSNBC,14.8333,1.4792
3/3/22,MSNBC,14.2606,0.5704
3/4/22,MSNBC,18.0069,0.4972
3/5/22,MSNBC,19.386,0.3509
3/6/22,MSNBC,19.793,0.4436
3/7/22,MSNBC,15.4339,0.3634
3/8/22,MSNBC,16.0989,0.4556
3/9/22,MSNBC,16.9827,0.4425
3/10/22,MSNBC,18.9369,0.5814
3/11/22,MSNBC,17.1357,0.5212
3/12/22,MSNBC,16.7205,0.6886
3/13/22,MSNBC,18.66,0.4174
3/14/22,MSNBC,17.2183,0.5027
3/15/22,MSNBC,15.1711,0.5634
3/16/22,MSNBC,17.0433,1.4721
3/17/22,MSNBC,16.1081,1.4244
3/18/22,MSNBC,15.2758,1.0614
3/19/22,MSNBC,14.7447,0.6602
3/20/22,MSNBC,17.5047,1.1684
3/21/22,MSNBC,13.3857,0.6364
3/22/22,MSNBC,7.3424,0.5587
3/23/22,MSNBC,8.6175,0.558
3/24/22,MSNBC,13.0023,1.1539
3/25/22,MSNBC,11.6129,1.4984
3/26/22,MSNBC,13.8283,1.4073
3/27/22,MSNBC,13.8694,1.5709
3/28/22,MSNBC,11.7635,1.3777
3/29/22,MSNBC,9.7561,0.7088
3/30/22,MSNBC,9.99,0.3255
3/31/22,MSNBC,10.0427,0.5769
4/1/22,MSNBC,9.5037,0.4897
4/2/22,MSNBC,10.6007,0.1325
4/3/22,MSNBC,8.3909,0.1941
4/4/22,MSNBC,9.8203,0.2995
4/5/22,MSNBC,9.2988,0.2395
4/6/22,MSNBC,9.0712,0.4546
4/7/22,MSNBC,9.1942,0.2572
4/8/22,MSNBC,8.6545,0.1938
4/9/22,MSNBC,7.1659,0.0861
4/10/22,MSNBC,8.6283,0.1885
4/11/22,MSNBC,8.0179,0.2339
4/12/22,MSNBC,5.2012,0.1498
4/13/22,MSNBC,7.8671,1.2219
4/14/22,MSNBC,8.0139,0.7797
4/15/22,MSNBC,8.7341,0.6254
4/16/22,MSNBC,7.0477,0.2149
4/17/22,MSNBC,7.5341,0.6928
4/18/22,MSNBC,7.8831,0.3986
4/19/22,MSNBC,9.1821,0.4057
4/20/22,MSNBC,8.7106,0.6651
4/21/22,MSNBC,9.2249,1.0677
4/22/22,MSNBC,5.9222,0.423
4/23/22,MSNBC,7.3019,0.1927
4/24/22,MSNBC,6.4502,0.2971
4/25/22,MSNBC,8.4202,0.4678
4/26/22,MSNBC,7.8685,0.4242
4/27/22,MSNBC,7.0004,0.3101
4/28/22,MSNBC,7.7024,1.0037
4/29/22,MSNBC,7.5774,0.6809
4/30/22,MSNBC,6.0547,0.3448
5/1/22,MSNBC,7.5978,0.3955
5/2/22,MSNBC,6.6737,0.4025
5/3/22,MSNBC,2.2718,0.2231
5/4/22,MSNBC,2.6399,0.0845
5/5/22,MSNBC,4.1597,0.209
5/6/22,MSNBC,5.8292,0.3657
5/7/22,MSNBC,5.1025,0.7472
5/8/22,MSNBC,5.0748,1.388
5/9/22,MSNBC,6.397,0.7842
