date,series,value_ukraine,value_w_corrupt
1/6/22,CNN,0.021,0
1/7/22,CNN,0.2122,0
1/8/22,CNN,0.5743,0
1/9/22,CNN,2.7075,0.2685
1/10/22,CNN,2.6895,0.0889
1/11/22,CNN,1.1671,0.0432
1/12/22,CNN,0.7104,0.0431
1/13/22,CNN,0.5902,0.0632
1/14/22,CNN,1.3625,0.0865
1/15/22,CNN,1.7023,0.1528
1/16/22,CNN,1.6794,0.1309
1/17/22,CNN,2.2697,0.2424
1/18/22,CNN,4.1248,0.3492
1/19/22,CNN,4.8695,0.5922
1/20/22,CNN,5.0874,1.6589
1/21/22,CNN,5.2438,0.7367
1/22/22,CNN,4.4607,0.2663
1/23/22,CNN,6.7411,0.5804
1/24/22,CNN,6.6302,0.8658
1/25/22,CNN,8.2253,0.7823
1/26/22,CNN,5.4962,0.9123
1/27/22,CNN,4.6752,0.5487
1/28/22,CNN,5.7705,0.9836
1/29/22,CNN,4.3666,0.7278
1/30/22,CNN,6.0729,0.2474
1/31/22,CNN,5.4218,0.36
2/1/22,CNN,3.5076,0.0905
2/2/22,CNN,4.1786,0.2199
2/3/22,CNN,3.5229,0.4236
2/4/22,CNN,3.3245,0.0881
2/5/22,CNN,2.3416,0.0918
2/6/22,CNN,3.5578,0.1576
2/7/22,CNN,6.3252,0.6459
2/8/22,CNN,5.6931,1.3051
2/9/22,CNN,3.573,0.1124
2/10/22,CNN,2.4841,0.1978
2/11/22,CNN,3.8917,0.7828
2/12/22,CNN,9.2414,1.2307
2/13/22,CNN,7.8056,1.5391
2/14/22,CNN,10.7372,1.3947
2/15/22,CNN,11.0128,0.8625
2/16/22,CNN,10.5957,1.3629
2/17/22,CNN,9.4236,0.8547
2/18/22,CNN,8.7678,1.1848
2/19/22,CNN,10.8233,1.4709
2/20/22,CNN,11.1062,1.0996
2/21/22,CNN,13.2385,1.8111
2/22/22,CNN,18.109,1.6227
2/23/22,CNN,16.0345,1.5086
2/24/22,CNN,21.7775,1.3136
2/25/22,CNN,17.5989,1.1055
2/26/22,CNN,17.8165,1.115
2/27/22,CNN,19.1354,0.6371
2/28/22,CNN,17.928,0.5076
3/1/22,CNN,17.9866,0.9172
3/2/22,CNN,18.4048,1.7897
3/3/22,CNN,17.2547,0.4325
3/4/22,CNN,16.8456,0.2685
3/5/22,CNN,18.0294,0.3851
3/6/22,CNN,19.5225,0.4462
3/7/22,CNN,18.2113,0.2317
3/8/22,CNN,16.0678,0.6102
3/9/22,CNN,15.7823,0.5193
3/10/22,CNN,18.7341,0.4158
3/11/22,CNN,18.1628,0.7887
3/12/22,CNN,19.4164,0.8732
3/13/22,CNN,20.1651,0.8253
3/14/22,CNN,20.1164,0.6937
3/15/22,CNN,16.0232,0.5579
3/16/22,CNN,18.4896,2.4282
3/17/22,CNN,15.7699,1.2686
3/18/22,CNN,15.6264,1.3375
3/19/22,CNN,17.4764,1.1973
3/20/22,CNN,19.4531,1.245
3/21/22,CNN,14.1938,0.8649
3/22/22,CNN,8.929,0.3005
3/23/22,CNN,14.0639,0.8873
3/24/22,CNN,16.386,1.8351
3/25/22,CNN,16.4295,1.8675
3/26/22,CNN,16.3992,1.6707
3/27/22,CNN,16.1023,2.1193
3/28/22,CNN,15.7631,1.0251
3/29/22,CNN,15.3719,0.7556
3/30/22,CNN,14.3671,0.8549
3/31/22,CNN,11.7413,0.5625
4/1/22,CNN,14.3775,0.3095
